LEA Code,LEA Name,School Code,School Name,Total Unaudited Enrollment (Including Non-Public Enrollment),Total Audited Enrollments (Including Non-Public Enrollment),Students included in UPSFF,Tuition paying non-resident students,Unverified resident students,Audited Non-Public Enrollment,Unverified resident students - Non-Public
001,District of Columbia Public Schools,315,Simon Elementary School,205,205,205,0,0,0,0
001,District of Columbia Public Schools,322,Smothers Elementary School,210,210,210,0,0,0,0
001,District of Columbia Public Schools,427,Sousa Middle School,216,215,215,0,0,0,0
001,District of Columbia Public Schools,319,Stanton Elementary School,313,313,313,0,0,0,0
001,District of Columbia Public Schools,321,Stoddert Elementary School,444,444,444,0,0,0,0
001,District of Columbia Public Schools,428,Stuart-Hobson Middle School (Capitol Hill Cluster),464,464,460,0,4,0,0
001,District of Columbia Public Schools,324,Takoma Elementary School,418,417,417,0,0,0,0
001,District of Columbia Public Schools,1142,Thaddeus Stevens Early Learning Center,72,72,71,0,1,0,0
001,District of Columbia Public Schools,1081,The Foundation School at PG County,15,15,0,0,0,13,2
001,District of Columbia Public Schools,1021,The Village Academy of Maryland,11,11,0,0,0,10,1
001,District of Columbia Public Schools,325,Thomas Elementary School,273,273,273,0,0,0,0
001,District of Columbia Public Schools,326,Thomson Elementary School,247,247,234,0,13,0,0
001,District of Columbia Public Schools,327,Truesdell Elementary School,444,444,441,0,3,0,0
001,District of Columbia Public Schools,328,Tubman Elementary School,542,540,533,0,7,0,0
001,District of Columbia Public Schools,329,Turner Elementary School,491,491,490,0,1,0,0
001,District of Columbia Public Schools,330,Tyler Elementary School,510,510,490,0,20,0,0
001,District of Columbia Public Schools,331,Van Ness Elementary School,372,372,369,0,3,0,0
001,District of Columbia Public Schools,1005,Villa Maria School at Dulaney Valley,1,1,0,0,0,1,0
001,District of Columbia Public Schools,332,Walker-Jones Education Campus,337,337,337,0,0,0,0
001,District of Columbia Public Schools,333,Watkins Elementary School (Capitol Hill Cluster),374,374,374,0,0,0,0
001,District of Columbia Public Schools,335,Wheatley Education Campus,325,321,320,0,1,0,0
001,District of Columbia Public Schools,338,Whittier Elementary School,380,380,378,0,2,0,0
103,AppleTree Early Learning PCS,140,AppleTree Early Learning Center PCS - Columbia Heights,99,98,98,0,0,0,0
103,AppleTree Early Learning PCS,3072,AppleTree Early Learning Center PCS - Douglas Knoll,53,53,53,0,0,0,0
103,AppleTree Early Learning PCS,3073,AppleTree Early Learning Center PCS - Lincoln Park,60,60,60,0,0,0,0
103,AppleTree Early Learning PCS,1137,AppleTree Early Learning Center PCS - Oklahoma Avenue,101,101,101,0,0,0,0
103,AppleTree Early Learning PCS,1069,AppleTree Early Learning Center PCS - Parklands at THEARC,99,99,99,0,0,0,0
103,AppleTree Early Learning PCS,141,AppleTree Early Learning Center PCS - Southwest,80,80,80,0,0,0,0
107,Bridges PCS,142,Bridges PCS,380,380,380,0,0,0,0
107,Bridges PCS,1041,CARD Academy- Alexandria,1,1,0,0,0,1,0
107,Bridges PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
107,Bridges PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
